,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
551,South Dakota,2006,15.0,18.0,11.0,21.0,90.0,8.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
552,Tennessee,2006,15.0,18.0,13.0,20.0,85.0,15.0,16.0,55.0,21.0,18.0,24.0,16.0,70.0,16.0,9.0,10.7
553,Texas,2006,13.0,13.0,9.0,19.0,78.0,12.0,13.0,52.0,16.0,14.0,22.0,23.0,56.0,11.0,5.0,8.0
554,Utah,2006,15.0,17.0,13.0,17.0,85.0,17.0,21.0,45.0,25.0,11.0,14.0,37.0,60.0,14.0,0.0,5.7
555,Vermont,2006,13.0,14.0,11.0,22.0,68.0,12.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
556,Virginia,2006,14.0,14.0,8.0,19.0,72.0,11.0,12.0,49.0,15.0,14.0,19.0,25.0,52.0,11.0,6.0,7.4
557,Washington,2006,12.0,14.0,8.0,18.0,63.0,12.0,13.0,46.0,16.0,10.0,12.0,25.0,46.0,10.0,3.0,7.1
558,West Virginia,2006,18.0,15.0,11.0,19.0,96.0,19.0,0.0,62.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1
559,Wisconsin,2006,14.0,19.0,11.0,19.0,71.0,9.0,9.0,47.0,17.0,13.0,16.0,26.0,66.0,16.0,7.0,6.2
560,Wyoming,2006,13.0,17.0,11.0,19.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
561,Alabama,2005,13.0,15.0,12.0,18.0,76.0,13.0,14.0,68.0,24.0,21.0,23.0,23.0,55.0,15.0,10.0,9.8
562,Alaska,2005,10.0,13.0,11.0,15.0,89.0,13.0,0.0,44.0,0.0,0.0,0.0,73.0,0.0,27.0,0.0,4.4
563,Arizona,2005,14.0,13.0,9.0,21.0,76.0,13.0,13.0,57.0,21.0,17.0,21.0,31.0,59.0,12.0,8.0,7.5
564,Arkansas,2005,11.0,12.0,10.0,17.0,60.0,24.0,27.0,56.0,27.0,18.0,32.0,34.0,63.0,21.0,0.0,8.1
565,California,2005,10.0,11.0,8.0,16.0,60.0,11.0,13.0,49.0,16.0,13.0,15.0,22.0,48.0,11.0,7.0,7.1
566,Colorado,2005,11.0,10.0,9.0,19.0,64.0,9.0,11.0,58.0,14.0,14.0,23.0,16.0,49.0,14.0,6.0,4.8
567,Connecticut,2005,9.0,11.0,10.0,17.0,69.0,14.0,14.0,55.0,19.0,14.0,35.0,37.0,58.0,14.0,0.0,6.5
568,Delaware,2005,13.0,9.0,7.0,15.0,71.0,0.0,0.0,0.0,0.0,0.0,100.0,57.0,0.0,67.0,0.0,8.6
569,District of Columbia,2005,9.0,7.0,10.0,18.0,61.0,12.0,12.0,55.0,16.0,14.0,9.0,13.0,60.0,8.0,0.0,7.1
570,Florida,2005,10.0,11.0,8.0,20.0,61.0,12.0,13.0,55.0,17.0,12.0,19.0,29.0,58.0,16.0,6.0,8.8
571,Georgia,2005,10.0,13.0,10.0,18.0,71.0,12.0,13.0,58.0,16.0,13.0,32.0,25.0,77.0,11.0,9.0,8.3
572,Hawaii,2005,9.0,10.0,9.0,18.0,62.0,19.0,0.0,65.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
573,Idaho,2005,6.0,18.0,10.0,12.0,60.0,16.0,0.0,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
574,Illinois,2005,11.0,11.0,10.0,18.0,72.0,12.0,15.0,59.0,18.0,19.0,17.0,29.0,58.0,19.0,7.0,7.9
575,Indiana,2005,16.0,19.0,12.0,21.0,87.0,21.0,22.0,70.0,20.0,23.0,23.0,29.0,89.0,15.0,10.0,8.3
576,Iowa,2005,17.0,15.0,16.0,19.0,74.0,14.0,12.0,71.0,19.0,14.0,33.0,19.0,80.0,29.0,0.0,6.8
577,Kansas,2005,9.0,13.0,11.0,21.0,67.0,12.0,10.0,51.0,17.0,11.0,16.0,26.0,77.0,16.0,11.0,6.9
578,Kentucky,2005,11.0,18.0,14.0,17.0,82.0,26.0,29.0,87.0,31.0,26.0,18.0,32.0,76.0,14.0,12.0,8.9
579,Louisiana,2005,9.0,10.0,12.0,18.0,65.0,9.0,12.0,77.0,12.0,19.0,33.0,38.0,54.0,0.0,9.0,9.2
580,Maine,2005,14.0,15.0,15.0,20.0,79.0,22.0,22.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
581,Maryland,2005,15.0,13.0,11.0,19.0,71.0,13.0,15.0,72.0,17.0,19.0,26.0,33.0,74.0,16.0,9.0,7.2
582,Massachusetts,2005,12.0,14.0,8.0,18.0,76.0,12.0,12.0,61.0,17.0,17.0,21.0,27.0,62.0,15.0,7.0,6.4
583,Michigan,2005,13.0,16.0,10.0,18.0,70.0,17.0,17.0,61.0,22.0,19.0,23.0,20.0,68.0,11.0,7.0,8.1
584,Minnesota,2005,13.0,13.0,11.0,16.0,76.0,16.0,17.0,68.0,25.0,17.0,18.0,17.0,56.0,12.0,6.0,5.8
585,Mississippi,2005,18.0,16.0,10.0,27.0,82.0,6.0,0.0,81.0,17.0,0.0,51.0,67.0,98.0,47.0,0.0,9.8
586,Missouri,2005,12.0,15.0,10.0,19.0,78.0,15.0,15.0,73.0,21.0,15.0,22.0,29.0,76.0,18.0,8.0,7.7
587,Montana,2005,6.0,19.0,8.0,20.0,79.0,24.0,0.0,61.0,40.0,0.0,56.0,98.0,0.0,32.0,0.0,5.7
588,Nebraska,2005,11.0,12.0,8.0,16.0,75.0,16.0,16.0,77.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
589,Nevada,2005,7.0,13.0,5.0,18.0,73.0,11.0,11.0,43.0,15.0,0.0,25.0,27.0,57.0,18.0,0.0,7.1
590,New Hampshire,2005,10.0,13.0,10.0,16.0,66.0,7.0,0.0,49.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
591,New Jersey,2005,12.0,11.0,9.0,21.0,63.0,12.0,12.0,55.0,15.0,16.0,20.0,26.0,65.0,13.0,6.0,7.7
592,New Mexico,2005,12.0,14.0,13.0,23.0,100.0,30.0,0.0,46.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
593,New York,2005,10.0,10.0,10.0,18.0,62.0,11.0,12.0,54.0,15.0,13.0,13.0,23.0,48.0,16.0,6.0,8.1
594,North Carolina,2005,13.0,15.0,11.0,21.0,77.0,18.0,20.0,63.0,21.0,14.0,29.0,34.0,66.0,15.0,10.0,8.5
595,North Dakota,2005,11.0,26.0,16.0,20.0,79.0,37.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
596,Ohio,2005,12.0,15.0,11.0,19.0,74.0,12.0,15.0,59.0,17.0,15.0,20.0,23.0,68.0,19.0,10.0,7.7
597,Oklahoma,2005,12.0,16.0,9.0,19.0,81.0,10.0,17.0,45.0,25.0,15.0,18.0,33.0,80.0,22.0,0.0,8.9
598,Oregon,2005,10.0,12.0,11.0,17.0,67.0,14.0,15.0,53.0,18.0,16.0,22.0,18.0,77.0,14.0,5.0,6.7
599,Pennsylvania,2005,12.0,14.0,11.0,17.0,78.0,16.0,17.0,69.0,21.0,17.0,13.0,36.0,61.0,19.0,7.0,8.1
600,Rhode Island,2005,13.0,10.0,11.0,21.0,68.0,8.0,0.0,61.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
601,South Carolina,2005,14.0,13.0,10.0,19.0,75.0,8.0,7.0,63.0,14.0,19.0,10.0,23.0,49.0,13.0,0.0,10.3
602,South Dakota,2005,10.0,13.0,12.0,12.0,83.0,38.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
603,Tennessee,2005,13.0,19.0,9.0,20.0,79.0,17.0,17.0,73.0,21.0,22.0,34.0,30.0,78.0,20.0,9.0,9.1
604,Texas,2005,12.0,13.0,9.0,17.0,71.0,14.0,15.0,61.0,18.0,16.0,19.0,29.0,61.0,14.0,9.0,7.9
605,Utah,2005,10.0,16.0,11.0,16.0,76.0,7.0,13.0,46.0,17.0,11.0,37.0,51.0,49.0,30.0,0.0,5.5
606,Vermont,2005,12.0,10.0,14.0,16.0,79.0,23.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
607,Virginia,2005,11.0,12.0,9.0,19.0,68.0,14.0,13.0,57.0,18.0,16.0,12.0,22.0,56.0,11.0,5.0,6.9
608,Washington,2005,11.0,11.0,8.0,15.0,63.0,16.0,17.0,58.0,22.0,13.0,23.0,27.0,50.0,12.0,2.0,6.3
609,West Virginia,2005,11.0,20.0,12.0,25.0,75.0,14.0,0.0,62.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4
610,Wisconsin,2005,13.0,13.0,10.0,17.0,70.0,10.0,14.0,56.0,18.0,12.0,29.0,35.0,59.0,10.0,8.0,6.6
611,Wyoming,2005,8.0,20.0,12.0,10.0,73.0,41.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
612,Alabama,2004,9.0,14.0,16.0,19.0,84.0,10.0,7.0,57.0,12.0,20.0,14.0,14.0,29.0,16.0,0.0,8.1
613,Alaska,2004,8.0,12.0,16.0,20.0,80.0,8.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
614,Arizona,2004,12.0,15.0,9.0,23.0,75.0,10.0,8.0,61.0,13.0,13.0,7.0,12.0,24.0,13.0,5.0,6.6
615,Arkansas,2004,12.0,15.0,16.0,29.0,94.0,6.0,9.0,49.0,9.0,12.0,0.0,40.0,34.0,0.0,0.0,7.1
616,California,2004,11.0,11.0,9.0,19.0,64.0,8.0,10.0,43.0,11.0,10.0,5.0,10.0,23.0,6.0,2.0,7.1
617,Colorado,2004,10.0,12.0,9.0,25.0,65.0,10.0,9.0,53.0,16.0,4.0,8.0,15.0,21.0,8.0,4.0,4.3
618,Connecticut,2004,14.0,15.0,13.0,24.0,63.0,6.0,8.0,64.0,8.0,13.0,12.0,12.0,29.0,7.0,4.0,6.0
619,Delaware,2004,14.0,5.0,15.0,25.0,87.0,11.0,0.0,75.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,7.0
620,District of Columbia,2004,11.0,11.0,8.0,20.0,74.0,7.0,8.0,54.0,14.0,16.0,7.0,8.0,17.0,9.0,0.0,8.3
621,Florida,2004,10.0,12.0,10.0,24.0,70.0,9.0,10.0,49.0,12.0,12.0,10.0,14.0,32.0,7.0,7.0,7.8
622,Georgia,2004,11.0,12.0,10.0,20.0,77.0,10.0,11.0,53.0,15.0,11.0,6.0,14.0,21.0,6.0,4.0,7.3
623,Hawaii,2004,10.0,10.0,13.0,19.0,78.0,15.0,0.0,47.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
624,Idaho,2004,10.0,15.0,9.0,19.0,79.0,17.0,0.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
625,Illinois,2004,13.0,12.0,10.0,20.0,73.0,8.0,9.0,52.0,14.0,12.0,8.0,12.0,30.0,6.0,3.0,6.0
626,Indiana,2004,15.0,15.0,10.0,21.0,85.0,17.0,18.0,51.0,22.0,10.0,17.0,9.0,35.0,6.0,7.0,7.7
627,Iowa,2004,15.0,13.0,11.0,25.0,90.0,11.0,14.0,60.0,13.0,13.0,0.0,28.0,44.0,9.0,0.0,6.4
628,Kansas,2004,10.0,13.0,12.0,16.0,71.0,14.0,14.0,37.0,20.0,12.0,15.0,21.0,23.0,7.0,7.0,6.5
629,Kentucky,2004,14.0,15.0,14.0,28.0,92.0,10.0,12.0,83.0,23.0,15.0,13.0,26.0,22.0,17.0,17.0,7.5
630,Louisiana,2004,11.0,15.0,11.0,21.0,89.0,9.0,7.0,58.0,7.0,17.0,21.0,22.0,39.0,13.0,0.0,8.3
631,Maine,2004,13.0,10.0,16.0,24.0,77.0,10.0,13.0,87.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
632,Maryland,2004,12.0,13.0,14.0,24.0,73.0,5.0,5.0,60.0,8.0,13.0,15.0,12.0,33.0,12.0,6.0,7.2
633,Massachusetts,2004,11.0,13.0,10.0,20.0,80.0,10.0,9.0,56.0,13.0,13.0,9.0,10.0,26.0,9.0,5.0,5.6
634,Michigan,2004,9.0,14.0,11.0,19.0,73.0,10.0,11.0,62.0,17.0,17.0,15.0,14.0,37.0,6.0,3.0,7.7
635,Minnesota,2004,11.0,13.0,12.0,21.0,84.0,11.0,11.0,63.0,16.0,10.0,10.0,12.0,26.0,7.0,6.0,5.0
636,Mississippi,2004,16.0,14.0,13.0,32.0,95.0,22.0,0.0,100.0,30.0,0.0,0.0,18.0,19.0,0.0,0.0,9.6
637,Missouri,2004,13.0,14.0,12.0,23.0,85.0,14.0,13.0,62.0,17.0,12.0,8.0,18.0,34.0,7.0,7.0,7.3
638,Montana,2004,15.0,16.0,12.0,20.0,76.0,11.0,0.0,55.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
639,Nebraska,2004,9.0,21.0,12.0,15.0,100.0,21.0,25.0,52.0,27.0,0.0,14.0,31.0,0.0,19.0,0.0,6.3
640,Nevada,2004,11.0,8.0,14.0,15.0,67.0,11.0,11.0,32.0,13.0,0.0,15.0,25.0,23.0,11.0,0.0,6.4
641,New Hampshire,2004,13.0,11.0,15.0,17.0,71.0,10.0,0.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
642,New Jersey,2004,10.0,13.0,11.0,22.0,71.0,10.0,11.0,51.0,12.0,14.0,7.0,6.0,23.0,12.0,2.0,6.8
643,New Mexico,2004,18.0,15.0,11.0,18.0,85.0,22.0,0.0,68.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
644,New York,2004,10.0,11.0,11.0,20.0,70.0,8.0,10.0,48.0,13.0,12.0,6.0,9.0,23.0,8.0,1.0,7.5
645,North Carolina,2004,12.0,14.0,13.0,25.0,87.0,13.0,15.0,62.0,19.0,15.0,8.0,16.0,20.0,9.0,2.0,8.4
646,North Dakota,2004,19.0,23.0,25.0,14.0,79.0,14.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9
647,Ohio,2004,13.0,13.0,11.0,17.0,79.0,12.0,13.0,55.0,16.0,14.0,10.0,11.0,28.0,11.0,5.0,7.8
648,Oklahoma,2004,12.0,12.0,12.0,21.0,78.0,16.0,16.0,66.0,25.0,18.0,7.0,29.0,24.0,14.0,0.0,8.0
649,Oregon,2004,11.0,14.0,11.0,22.0,75.0,13.0,16.0,56.0,19.0,11.0,9.0,12.0,41.0,4.0,0.0,6.6
650,Pennsylvania,2004,11.0,17.0,13.0,22.0,81.0,11.0,13.0,71.0,17.0,16.0,10.0,12.0,26.0,11.0,4.0,7.8
651,Rhode Island,2004,11.0,11.0,11.0,23.0,81.0,13.0,0.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
652,South Carolina,2004,12.0,9.0,11.0,23.0,82.0,10.0,10.0,62.0,15.0,13.0,10.0,26.0,29.0,11.0,0.0,8.3
653,South Dakota,2004,12.0,21.0,16.0,27.0,91.0,19.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
654,Tennessee,2004,11.0,15.0,14.0,21.0,86.0,10.0,8.0,71.0,15.0,16.0,19.0,18.0,33.0,4.0,4.0,8.4
655,Texas,2004,11.0,12.0,10.0,22.0,80.0,9.0,11.0,53.0,15.0,14.0,8.0,14.0,27.0,7.0,4.0,7.7
656,Utah,2004,10.0,14.0,13.0,17.0,75.0,20.0,20.0,50.0,20.0,15.0,14.0,12.0,28.0,15.0,0.0,5.1
657,Vermont,2004,13.0,15.0,16.0,22.0,86.0,0.0,0.0,49.0,0.0,0.0,19.0,100.0,0.0,0.0,0.0,5.3
658,Virginia,2004,11.0,12.0,10.0,24.0,78.0,9.0,11.0,54.0,13.0,12.0,5.0,14.0,21.0,8.0,3.0,7.0
659,Washington,2004,11.0,13.0,10.0,18.0,68.0,11.0,14.0,44.0,14.0,11.0,5.0,10.0,25.0,5.0,3.0,6.4
660,West Virginia,2004,18.0,14.0,13.0,20.0,82.0,23.0,0.0,95.0,18.0,0.0,20.0,61.0,0.0,20.0,20.0,10.9
661,Wisconsin,2004,12.0,17.0,13.0,21.0,76.0,15.0,14.0,45.0,21.0,10.0,9.0,12.0,25.0,4.0,5.0,5.7
662,Wyoming,2004,11.0,21.0,12.0,20.0,97.0,25.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
