,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
83,New York,2015,19.0,17.0,9.0,21.0,73.0,39.0,42.0,60.0,50.0,33.0,29.0,26.0,58.0,18.0,5.0,9.81
84,North Carolina,2015,22.0,22.0,11.0,24.0,83.0,47.0,50.0,66.0,60.0,40.0,36.0,30.0,76.0,19.0,6.0,10.67
85,North Dakota,2015,28.0,24.0,12.0,25.0,88.0,57.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72
86,Ohio,2015,24.0,24.0,12.0,24.0,86.0,48.0,50.0,80.0,63.0,41.0,44.0,39.0,86.0,24.0,7.0,11.03
87,Oklahoma,2015,21.0,21.0,10.0,24.0,83.0,46.0,52.0,64.0,61.0,32.0,30.0,36.0,61.0,17.0,0.0,11.72
88,Oregon,2015,17.0,16.0,9.0,16.0,72.0,35.0,36.0,51.0,46.0,25.0,27.0,25.0,62.0,13.0,4.0,10.68
89,Pennsylvania,2015,24.0,22.0,12.0,25.0,88.0,47.0,50.0,77.0,59.0,39.0,38.0,34.0,77.0,20.0,7.0,10.37
90,Rhode Island,2015,23.0,19.0,12.0,25.0,83.0,53.0,0.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04
91,South Carolina,2015,20.0,21.0,10.0,22.0,80.0,48.0,48.0,68.0,63.0,38.0,33.0,30.0,65.0,18.0,0.0,11.84
92,South Dakota,2015,31.0,34.0,15.0,29.0,100.0,50.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33
93,Tennessee,2015,24.0,25.0,12.0,25.0,90.0,48.0,50.0,85.0,63.0,43.0,44.0,42.0,86.0,24.0,6.0,12.66
94,Texas,2015,20.0,18.0,9.0,20.0,80.0,44.0,47.0,61.0,55.0,35.0,32.0,32.0,68.0,18.0,6.0,11.43
95,Utah,2015,21.0,21.0,10.0,18.0,89.0,53.0,57.0,58.0,62.0,47.0,36.0,30.0,72.0,19.0,0.0,7.03
96,Vermont,2015,22.0,19.0,11.0,22.0,77.0,45.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23
97,Virginia,2015,15.0,14.0,8.0,16.0,63.0,27.0,30.0,48.0,36.0,27.0,22.0,18.0,50.0,12.0,4.0,10.35
98,Washington,2015,23.0,20.0,10.0,21.0,79.0,45.0,48.0,52.0,58.0,34.0,33.0,28.0,77.0,15.0,7.0,8.4
99,West Virginia,2015,26.0,29.0,13.0,30.0,96.0,50.0,0.0,86.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,14.46
100,Wisconsin,2015,24.0,21.0,12.0,22.0,82.0,47.0,50.0,63.0,61.0,38.0,40.0,35.0,81.0,18.0,7.0,8.37
101,Wyoming,2015,24.0,27.0,11.0,20.0,87.0,40.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39
102,Alabama,2014,22.0,24.0,12.0,28.0,92.0,51.0,54.0,91.0,65.0,53.0,45.0,39.0,74.0,23.0,7.0,12.9
103,Alaska,2014,21.0,19.0,9.0,22.0,88.0,47.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
104,Arizona,2014,22.0,21.0,11.0,23.0,84.0,43.0,48.0,80.0,58.0,42.0,42.0,35.0,81.0,23.0,7.0,10.1
105,Arkansas,2014,23.0,23.0,12.0,25.0,94.0,53.0,58.0,83.0,71.0,56.0,49.0,35.0,98.0,25.0,0.0,12.8
106,California,2014,20.0,17.0,9.0,22.0,74.0,38.0,42.0,62.0,49.0,35.0,36.0,28.0,68.0,17.0,6.0,10.3
107,Colorado,2014,17.0,16.0,9.0,20.0,74.0,36.0,39.0,62.0,45.0,35.0,34.0,27.0,61.0,17.0,6.0,7.3
108,Connecticut,2014,24.0,22.0,11.0,26.0,82.0,46.0,49.0,76.0,61.0,48.0,41.0,36.0,79.0,25.0,7.0,9.2
109,Delaware,2014,25.0,25.0,12.0,28.0,92.0,47.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1
110,District of Columbia,2014,18.0,16.0,9.0,22.0,74.0,32.0,38.0,67.0,44.0,31.0,34.0,24.0,56.0,20.0,0.0,8.4
111,Florida,2014,20.0,19.0,11.0,24.0,80.0,37.0,43.0,76.0,50.0,41.0,42.0,31.0,76.0,22.0,6.0,11.2
112,Georgia,2014,18.0,17.0,9.0,21.0,76.0,36.0,39.0,67.0,49.0,41.0,36.0,27.0,67.0,19.0,6.0,11.6
113,Hawaii,2014,20.0,17.0,10.0,22.0,77.0,37.0,0.0,67.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8
114,Idaho,2014,22.0,23.0,11.0,24.0,92.0,48.0,0.0,79.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6
115,Illinois,2014,20.0,18.0,10.0,22.0,78.0,37.0,41.0,68.0,50.0,41.0,41.0,31.0,70.0,22.0,5.0,10.1
116,Indiana,2014,26.0,27.0,13.0,26.0,91.0,57.0,61.0,78.0,72.0,60.0,54.0,39.0,100.0,22.0,7.0,10.7
117,Iowa,2014,24.0,21.0,12.0,22.0,86.0,45.0,46.0,85.0,58.0,44.0,47.0,26.0,78.0,23.0,0.0,9.5
118,Kansas,2014,17.0,19.0,9.0,19.0,71.0,42.0,43.0,63.0,49.0,38.0,37.0,27.0,68.0,18.0,7.0,10.3
119,Kentucky,2014,22.0,24.0,12.0,26.0,89.0,42.0,44.0,82.0,59.0,47.0,45.0,35.0,81.0,24.0,8.0,12.5
120,Louisiana,2014,20.0,22.0,11.0,23.0,80.0,40.0,43.0,76.0,55.0,48.0,38.0,38.0,75.0,22.0,6.0,11.3
121,Maine,2014,24.0,22.0,15.0,27.0,89.0,44.0,46.0,84.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
122,Maryland,2014,25.0,22.0,12.0,27.0,92.0,48.0,53.0,82.0,59.0,46.0,46.0,36.0,92.0,26.0,8.0,10.1
123,Massachusetts,2014,21.0,20.0,10.0,24.0,81.0,41.0,43.0,71.0,52.0,42.0,39.0,32.0,77.0,24.0,4.0,9.7
124,Michigan,2014,22.0,20.0,11.0,22.0,80.0,40.0,44.0,80.0,56.0,42.0,40.0,34.0,72.0,20.0,6.0,10.4
125,Minnesota,2014,23.0,20.0,12.0,23.0,83.0,47.0,50.0,76.0,60.0,41.0,42.0,38.0,85.0,21.0,8.0,8.1
126,Mississippi,2014,23.0,23.0,13.0,25.0,90.0,45.0,0.0,100.0,61.0,0.0,45.0,51.0,88.0,21.0,0.0,13.0
127,Missouri,2014,22.0,21.0,12.0,25.0,88.0,46.0,50.0,80.0,61.0,45.0,42.0,42.0,82.0,25.0,7.0,11.1
128,Montana,2014,24.0,24.0,12.0,22.0,91.0,46.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8
129,Nebraska,2014,21.0,23.0,12.0,24.0,85.0,46.0,49.0,82.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
130,Nevada,2014,18.0,17.0,9.0,21.0,76.0,39.0,45.0,67.0,53.0,0.0,38.0,23.0,62.0,17.0,0.0,9.6
131,New Hampshire,2014,22.0,19.0,10.0,27.0,85.0,46.0,0.0,63.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
132,New Jersey,2014,21.0,19.0,10.0,26.0,80.0,42.0,44.0,68.0,53.0,44.0,37.0,27.0,71.0,22.0,6.0,9.7
133,New Mexico,2014,22.0,21.0,12.0,22.0,98.0,52.0,0.0,91.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
134,New York,2014,17.0,17.0,10.0,23.0,73.0,34.0,38.0,65.0,47.0,39.0,32.0,30.0,60.0,18.0,4.0,10.0
135,North Carolina,2014,20.0,20.0,11.0,24.0,82.0,43.0,47.0,75.0,57.0,45.0,41.0,30.0,75.0,21.0,6.0,10.8
136,North Dakota,2014,27.0,21.0,11.0,22.0,95.0,59.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
137,Ohio,2014,24.0,23.0,12.0,25.0,88.0,48.0,51.0,83.0,63.0,49.0,53.0,36.0,95.0,25.0,6.0,11.7
138,Oklahoma,2014,22.0,20.0,11.0,23.0,81.0,40.0,46.0,80.0,55.0,43.0,42.0,37.0,81.0,21.0,0.0,12.0
